Description,Price,Rating,ReviewCount,Url
"MSI GL65 Leopard 10SFK-062 15.6"" FHD 144Hz 3ms Thin Bezel Gaming Laptop Intel Core i7-10750H RTX2070 16GB 512GB NVMe SSD Win 10","$1,351.83",4.7 out of 5 stars,"1,675",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A023400027HR789PY4VM1&url=%2FMSI-Leopard-10SFK-062-i7-10750H-RTX2070%2Fdp%2FB085B3GFRL%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dgaming%2Blaptop%26qid%3D1616533731%26sr%3D8-1-spons%26psc%3D1&qualifier=1616533731&id=3470428178998430&widgetName=sp_atf
"MSI GE75 Raider- 10SF-286 17.3"" 240Hz 3ms Gaming Laptop Intel Core i7-10875H RTX2070 16GB 512GB NVMe SSD Win10 VR Ready, 17-30.99 inches (GE75 Raider 10SF-286)","$1,599.00",4.2 out of 5 stars,11,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0485073NHPTCDDXWS4X&url=%2FMSI-GE75-10SF-286-i7-10875H-Raider%2Fdp%2FB089656G58%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Dgaming%2Blaptop%26qid%3D1616533731%26sr%3D8-2-spons%26psc%3D1&qualifier=1616533731&id=3470428178998430&widgetName=sp_atf
"Acer Nitro 5 Gaming Laptop, 10th Gen Intel Core i5-10300H,NVIDIA GeForce GTX 1650 Ti, 15.6"" Full HD IPS 144Hz Display, 8GB DDR4,256GB NVMe SSD,WiFi 6, DTS X Ultra,Backlit Keyboard,AN515-55-59KS",$729.99,4.6 out of 5 stars,"1,557",https://www.amazon.com/Acer-i5-10300H-GeForce-Keyboard-AN515-55-59KS/dp/B08H2H89K1/ref=sr_1_3?dchild=1&keywords=gaming+laptop&qid=1616533731&sr=8-3
"Lenovo Legion 5 Gaming Laptop, 15.6"" FHD (1920x1080) IPS Screen, AMD Ryzen 7 4800H Processor, 16GB DDR4, 512GB SSD, NVIDIA GTX 1660Ti, Windows 10, 82B1000AUS, Phantom Black",$999.99,4.6 out of 5 stars,895,https://www.amazon.com/Lenovo-1920x1080-Processor-Windows-82B1000AUS/dp/B08BB9RWXD/ref=sr_1_4?dchild=1&keywords=gaming+laptop&qid=1616533731&sr=8-4
"MSI GL65 Leopard 10SFK-062 15.6"" FHD 144Hz 3ms Thin Bezel Gaming Laptop Intel Core i7-10750H RTX2070 16GB 512GB NVMe SSD Win 10","$1,351.83",4.7 out of 5 stars,"1,675",https://www.amazon.com/MSI-Leopard-10SFK-062-i7-10750H-RTX2070/dp/B085B3GFRL/ref=sr_1_5?dchild=1&keywords=gaming+laptop&qid=1616533731&sr=8-5
"Acer Aspire 5 Slim Laptop, 15.6 inches Full HD IPS Display, AMD Ryzen 3 3200U, Vega 3 Graphics, 4GB DDR4, 128GB SSD, Backlit Keyboard, Windows 10 in S Mode, A515-43-R19L, Silver",$364.99,4.6 out of 5 stars,"25,394",https://www.amazon.com/Acer-Display-Graphics-Keyboard-A515-43-R19L/dp/B07RF1XD36/ref=sr_1_6?dchild=1&keywords=gaming+laptop&qid=1616533731&sr=8-6
"ASUS TUF Gaming Laptop, 15.6” 144Hz Full HD IPS-Type Display, Intel Core i7-9750H Processor, GeForce GTX 1650, 8GB DDR4, 512GB PCIe SSD, Gigabit Wi-Fi 5, Windows 10 Home, FX505GT-AB73",$869.00,4.7 out of 5 stars,"1,173",https://www.amazon.com/ASUS-IPS-Type-i7-9750H-Processor-FX505GT-AB73/dp/B08KH2Q1FG/ref=sr_1_7?dchild=1&keywords=gaming+laptop&qid=1616533731&sr=8-7
"Acer Predator Helios 300 Gaming Laptop, Intel i7-10750H, NVIDIA GeForce RTX 2070 Max-Q 8GB, 17.3"" FHD 144Hz 3ms IPS Display, 16GB Dual-Channel DDR4, 1TB NVMe SSD, WiFi 6, RGB Keyboard, PH317-54-70Z5","$1,709.99",4.7 out of 5 stars,"2,855",https://www.amazon.com/Acer-Predator-i7-10750H-Dual-Channel-PH317-54-70Z5/dp/B089WG3YMT/ref=sr_1_8?dchild=1&keywords=gaming+laptop&qid=1616533731&sr=8-8
Lenovo - IdeaPad L340 15 Gaming Laptop - Intel Core i5 - 8GB Memory - NVIDIA GeForce GTX 1650 - 256GB Solid State Drive - Black,$719.00,4.3 out of 5 stars,135,https://www.amazon.com/Lenovo-IdeaPad-Gaming-Laptop-GeForce/dp/B08N5TQD6M/ref=sr_1_9?dchild=1&keywords=gaming+laptop&qid=1616533731&sr=8-9
"Samsung Galaxy Book Flex 13.3” Laptop|QLED Display and Intel Core i7 Processor|8GB Memory|512GB SSD|Long Battery Life and Bluetooth-Enabled S Pen|(NP930QCG-K01US),Royal Blue","$1,199.00",4.6 out of 5 stars,232,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A047100138G24EZ3RDSRW&url=%2FSamsung-Display-Processor-Bluetooth-Enabled-NP930QCG-K01US%2Fdp%2FB085D2HHBT%2Fref%3Dsr_1_11_sspa%3Fdchild%3D1%26keywords%3Dgaming%2Blaptop%26qid%3D1616533731%26sr%3D8-11-spons%26psc%3D1&qualifier=1616533731&id=3470428178998430&widgetName=sp_mtf
"Razer Blade 15 Base Gaming Laptop 2021: Intel Core i7-10750H 6 Core, NVIDIA GeForce RTX 3060, 15.6"" FHD 1080p 144Hz, 16GB, 512GB SSD - CNC Aluminum - Chroma RGB Lighting - Thunderbolt 3","$1,699.99",4.3 out of 5 stars,15,https://www.amazon.com/Razer-Blade-Base-Gaming-Laptop/dp/B08SJDNLV8/ref=sr_1_13?dchild=1&keywords=gaming+laptop&qid=1616533731&sr=8-13
"Razer Blade 15 Base Gaming Laptop 2020: Intel Core i7-10750H 6 Core, NVIDIA GeForce RTX 2070 Max-Q, 15.6"" FHD 1080p 144Hz, 16GB RAM, 512GB SSD, CNC Aluminum, Chroma RGB Lighting, Thunderbolt 3, Black","$1,499.99",4.6 out of 5 stars,838,https://www.amazon.com/Razer-Blade-Base-Gaming-Laptop/dp/B086MFZBM9/ref=sr_1_14?dchild=1&keywords=gaming+laptop&qid=1616533731&sr=8-14
"ASUS TUF Gaming A15 Gaming Laptop, 15.6” 144Hz Full HD IPS-Type Display, AMD Ryzen 5 4600H, GeForce GTX 1650 Ti, 8GB DDR4, 512GB PCIe SSD, RGB Keyboard, Windows 10 Home, Bonfire Black, FA506II-AS53",$799.99,,,https://www.amazon.com/ASUS-IPS-Type-Display-Keyboard-FA506II-AS53/dp/B08W2SJRZM/ref=sr_1_15?dchild=1&keywords=gaming+laptop&qid=1616533731&sr=8-15
"WiFi Projector, Native 1080P Full HD Video Projector, Bluetooth Projector, FANGOR 7500 Lumens/250 Display/ Contrast 8000: 1 Theater Movie Projector with Wireless Mirror to iPhone/Ipad/Android Phones",$209.99,4.2 out of 5 stars,"1,323",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A02079723REYDGRTGTUM1&url=%2FProjector-Bluetooth-FANGOR-Display-Contrast%2Fdp%2FB07ZNXHXSM%2Fref%3Dsr_1_16_sspa%3Fdchild%3D1%26keywords%3Dgaming%2Blaptop%26qid%3D1616533731%26sr%3D8-16-spons%26psc%3D1%26smid%3DA3G6T9J13ABHB7&qualifier=1616533731&id=3470428178998430&widgetName=sp_mtf
"HP Pavilion Gaming 15-Inch Micro-EDGE Laptop, Intel Core i5-9300H Processor, NVIDIA GeForce GTX 1650 (4 GB), 8 GB SDRAM, 256 GB SSD, Windows 10 Home (15-dk0020nr, Shadow Black/Acid Green)",$728.00,4.7 out of 5 stars,431,https://www.amazon.com/HP-Pavilion-Micro-EDGE-Processor-15-dk0020nr/dp/B07SC6HG74/ref=sr_1_17?dchild=1&keywords=gaming+laptop&qid=1616533731&sr=8-17
"Acer Predator Triton 500 PT515-52-73L3 Gaming Laptop, Intel i7-10750H, NVIDIA GeForce RTX 2070 SUPER, 15.6"" FHD NVIDIA G-SYNC Display, 300Hz, 16GB Dual-Channel DDR4, 512GB NVMe SSD, RGB Backlit KB","$1,627.00",4.4 out of 5 stars,122,https://www.amazon.com/Acer-Predator-PT515-52-73L3-i7-10750H-Dual-Channel/dp/B08CNLPDXV/ref=sr_1_18?dchild=1&keywords=gaming+laptop&qid=1616533731&sr=8-18
"Asus TUF FX505DT Gaming Laptop, 15.6” Full HD, AMD Ryzen 7 R7-3750H Processor, GeForce GTX 1650 Graphics, 8GB DDR4, 256GB PCIe SSD, Gigabit Wi-Fi 5, Windows 10 Home, FX505DT-WB72, RGB Keyboard",$799.99,4.2 out of 5 stars,14,https://www.amazon.com/R7-3750H-Processor-Graphics-FX505DT-WB72-Keyboard/dp/B08B5JW8JV/ref=sr_1_19?dchild=1&keywords=gaming+laptop&qid=1616533731&sr=8-19
